playerID,ballots,votes,inducted
manushe01,160.0,15.0,N
nehfar01,234.0,3.0,N
frickfo99,,,Y
terrybi01,161.0,46.0,N
medwijo01,193.0,31.0,N
maddugr01,571.0,555.0,Y
leachfr01,269.0,1.0,N
delahed01,,,Y
elberki01,201.0,1.0,N
milancl01,262.0,1.0,N
kuennha01,413.0,144.0,N
sandbry01,516.0,393.0,Y
maranra01,252.0,209.0,Y
cissebi01,201.0,1.0,N
matheed01,379.0,301.0,Y
fostege01,430.0,24.0,N
rickebr01,,,Y
terrybi01,247.0,32.0,N
traynpi01,274.0,10.0,N
kellech01,283.0,11.0,N
becklja01,,,Y
smithoz01,472.0,433.0,Y
bottoji01,,,Y
mcleala01,201.0,1.0,N
welchmi01,,,Y
dunnja01,202.0,1.0,N
hulbewi99,,,Y
newcodo01,432.0,52.0,N
nichoki01,,,Y
stengca01,,,Y
lombaer01,292.0,43.0,N
odoulle01,193.0,5.0,N
radboch01,,,Y
cepedor01,401.0,77.0,N
thomafr04,571.0,478.0,Y
hubbaca99,,,Y
gwynnto01,545.0,532.0,Y
dreyfba99,,,Y
derripa01,121.0,1.0,N
averiea01,,,Y
darliro01,515.0,1.0,N
robinfr02,415.0,370.0,Y
lasorto01,,,Y
rolfere01,264.0,5.0,N
coopewi01,234.0,2.0,N
kaatji01,456.0,98.0,N
gosligo01,,,Y
planked01,,,Y
crawfsa01,226.0,1.0,N
covelst01,262.0,1.0,N
rudoldi01,201.0,1.0,N
suttodo01,473.0,386.0,Y
gileswa99,,,Y
fosteru99,,,Y
coopewi01,264.0,9.0,N
marioma01,340.0,112.0,N
yawketo99,,,Y
torrejo01,473.0,105.0,N
snidedu01,360.0,89.0,N
jackstr01,,,Y
cuyleki01,,,Y
wilsoha01,,,Y
jenkife01,443.0,334.0,Y
larkiba01,581.0,361.0,N
bottoji01,168.0,8.0,N
fingero01,430.0,349.0,Y
harribu01,153.0,11.0,N
bresnro01,,,Y
lyonste01,251.0,217.0,Y
gehrilo01,,,Y
carewro01,443.0,401.0,Y
friscfr01,226.0,14.0,N
cuyleki01,153.0,4.0,N
raineti01,569.0,297.0,N
eckerde01,506.0,421.0,Y
longhe01,262.0,1.0,N
cavarph01,201.0,22.0,N
dawsoan01,539.0,420.0,Y
burnsge01,201.0,3.0,N
jacksre01,423.0,396.0,Y
ripkeca01,545.0,537.0,Y
foxne01,,,Y
worreto01,496.0,0.0,N
bradlbi01,233.0,1.0,N
wilheho01,395.0,331.0,Y
dawsoan01,520.0,317.0,N
conrowi01,247.0,1.0,N
reesepe01,201.0,73.0,N
mccarjo99,,,Y
greenha01,193.0,164.0,Y
fellebo01,160.0,150.0,Y
cramedo01,266.0,2.0,N
lindsfr01,,,Y
vaughar01,,,Y
steinte01,516.0,1.0,N
careyma01,,,Y
taylobe99,,,Y
archeji01,262.0,7.0,N
barlial99,,,Y
medwijo01,283.0,240.0,Y
marisro01,374.0,69.0,N
dunstsh01,543.0,1.0,N
lazzeto01,193.0,64.0,N
martipe02,549.0,500.0,Y
combsea01,153.0,6.0,N
tinkejo01,,,Y
carrocl02,395.0,0.0,N
delahed01,262.0,132.0,N
tinkejo01,247.0,49.0,N
