,precision,recall,f1-score,support,score,K_value
N,0.9137931034482759,0.8412698412698413,0.8760330578512396,63.0,,
Y,0.8507462686567164,0.9193548387096774,0.8837209302325582,62.0,,
accuracy,0.88,0.88,0.88,0.88,,
macro avg,0.8822696860524961,0.8803123399897593,0.8798769940418989,125.0,,
weighted avg,0.8825218733916624,0.88,0.8798462425523736,125.0,,
Final_accuracy,,,,,0.88,
Model_Info,,,,,,75.0
